time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.pose.position.x,.pose.position.y,.pose.position.z,.pose.orientation.x,.pose.orientation.y,.pose.orientation.z,.pose.orientation.w
2023/08/08/22:55:48.980029,7428,1691515548,979168965,world,1.729981780052185,0.591879665851593,1.0910829305648804,-0.1712818294763565,-0.008562727831304073,-0.4405709505081177,0.8811846971511841
2023/08/08/22:55:49.279516,7429,1691515549,278862019,world,1.3194921016693115,0.3324407935142517,1.2518599033355713,-0.5053750276565552,0.19036351144313812,-0.2126966118812561,0.8143206238746643
2023/08/08/22:55:49.279598,7432,1691515549,278991091,world,1.2281569242477417,0.2703973352909088,1.2798100709915161,-0.04611634090542793,-0.06086289510130882,-0.40897563099861145,0.9093447923660278
2023/08/08/22:55:49.280094,7433,1691515549,279101444,world,1.1957480907440186,0.2489040493965149,1.285583257675171,0.11429616063833237,-0.14821216464042664,-0.4489169120788574,0.8737524151802063
2023/08/08/22:55:49.280119,7445,1691515549,279367271,world,0.8551321029663086,0.030851611867547035,1.278564214706421,0.5261921882629395,-0.24260134994983673,0.11111118644475937,-0.8074160218238831
2023/08/08/22:55:49.280525,7446,1691515549,279443541,world,0.8265965580940247,0.011183999478816986,1.27825927734375,0.3987042307853699,-0.15242058038711548,0.18643075227737427,-0.8848990797996521
2023/08/08/22:55:49.280539,7461,1691515549,279798350,world,0.39817923307418823,-0.2705615758895874,1.130775809288025,-0.5496936440467834,0.2882173955440521,0.0020945616997778416,0.7840684652328491
2023/08/08/22:55:49.280561,7462,1691515549,279895154,world,0.37035590410232544,-0.29009556770324707,1.1194931268692017,-0.43577954173088074,0.1909300684928894,-0.0723932757973671,0.8765850067138672
2023/08/08/22:55:49.280574,7472,1691515549,280219999,world,0.07672013342380524,-0.4853934049606323,0.9246750473976135,0.6883001327514648,-0.6113771796226501,-0.3833288550376892,0.07429607212543488
2023/08/08/22:55:49.280653,7473,1691515549,280501890,world,0.05103405937552452,-0.5020014047622681,0.9011061191558838,0.7138066291809082,-0.5982189178466797,-0.346861332654953,-0.11091208457946777
2023/08/08/22:55:49.282017,7474,1691515549,280570966,world,0.025416875258088112,-0.5180891752243042,0.8778163194656372,0.7033580541610718,-0.5705296397209167,-0.30028313398361206,-0.29935500025749207
2023/08/08/22:55:49.282045,7475,1691515549,280604351,world,0.0006592146237380803,-0.5353795289993286,0.8551701307296753,0.6828552484512329,-0.5069437026977539,-0.24633921682834625,-0.4647943675518036
2023/08/08/22:55:49.282114,7478,1691515549,280703530,world,-0.07816708832979202,-0.5899426341056824,0.7881526350975037,0.46584635972976685,-0.22958411276340485,-0.050781961530447006,-0.8530530333518982
2023/08/08/22:55:49.282123,7479,1691515549,280777565,world,-0.1061197817325592,-0.6097227931022644,0.7647945880889893,0.36355698108673096,-0.111857108771801,0.02611585147678852,-0.9244632124900818
2023/08/08/22:55:49.282131,7482,1691515549,280886871,world,-0.19446709752082825,-0.6711975336074829,0.6863185167312622,-0.007796256337314844,0.25555503368377686,0.23439626395702362,-0.9379175305366516
2023/08/08/22:55:49.282278,7483,1691515549,280936390,world,-0.2245388627052307,-0.6915910840034485,0.6567948460578918,-0.13365735113620758,0.3665581941604614,0.2906104624271393,-0.8736798167228699
2023/08/08/22:55:49.282304,7487,1691515549,281015524,world,-0.33895397186279297,-0.7665265202522278,0.5242162346839905,-0.5385168194770813,0.6453873515129089,0.424976646900177,-0.33596089482307434
2023/08/08/22:55:49.282546,7488,1691515549,281065253,world,-0.365384042263031,-0.7836270928382874,0.48940205574035645,-0.5978334546089172,0.6601572632789612,0.42739829421043396,-0.1553010195493698
2023/08/08/22:55:49.282601,7494,1691515549,281224148,world,-0.5185936689376831,-0.8874378800392151,0.28726714849472046,-0.488819420337677,0.2671189606189728,0.18043464422225952,0.8106456398963928
2023/08/08/22:55:49.282624,7495,1691515549,281315644,world,-0.5460450649261475,-0.9068273305892944,0.25331100821495056,-0.4075550138950348,0.14277854561805725,0.11287151277065277,0.8948593735694885
2023/08/08/22:55:49.282644,7497,1691515549,281374383,world,-0.6026628017425537,-0.9469400644302368,0.18088862299919128,-0.21296033263206482,-0.11314009130001068,-0.043802209198474884,0.9694991707801819
2023/08/08/22:55:49.282658,7498,1691515549,281453167,world,-0.6309767961502075,-0.9664630889892578,0.1428452730178833,-0.08941628038883209,-0.25181829929351807,-0.12856446206569672,0.9550201892852783
2023/08/08/22:55:49.282674,7499,1691515549,281487461,world,-0.6600068807601929,-0.9862221479415894,0.10296441614627838,0.025020943954586983,-0.3697437047958374,-0.20587870478630066,0.9056917428970337
2023/08/08/22:55:49.282708,7500,1691515549,281530345,world,-0.6886560916900635,-1.0059870481491089,0.061684414744377136,0.1356223076581955,-0.48123034834861755,-0.2776587903499603,0.8203228116035461
2023/08/08/22:55:49.282722,7501,1691515549,281606266,world,-0.7141599059104919,-1.027172327041626,0.037501633167266846,0.3336023688316345,-0.5865208506584167,-0.3894177973270416,0.6269421577453613
2023/08/08/22:55:49.282767,7502,1691515549,281648033,world,-0.7334287166595459,-1.04932701587677,0.053835947066545486,0.5807209610939026,-0.6118898391723633,-0.470464825630188,0.2588764727115631
2023/08/08/22:55:49.282775,7503,1691515549,281731916,world,-0.7496480941772461,-1.0684927701950073,0.07193760573863983,0.7080835103988647,-0.5122278928756714,-0.45779672265052795,-0.16328632831573486
2023/08/08/22:55:49.282805,7504,1691515549,281761460,world,-0.8230991959571838,-1.158290147781372,0.16109973192214966,0.01932085119187832,-0.5082603693008423,-0.24137119948863983,0.8264612555503845
